LUCAS_ID,Pair.ID,LC,Bas,Cmic,Xylosidase,Cellulase,beta.glucosidase,N.actylglucosaminidase,Acid.phosphatase,MWD,WSA,Distance,PA
43942996,1,Grassland,2.770682148,750.7343977,71.17,86.47,500.76,239.36,722.55,2.547713333,100,84970.58314,TRUE
44322920,1,Grassland,1.137840376,773.9392801,77.54,120.84,637.91,200.97,696.45,2.0049941,78.78787879,84970.58314,FALSE
38742668,2,Grassland,2.856853614,779.2936492,621.52,217.92,1385.49,355.34,1957.71,1.127336032,58.33333333,10198.03903,TRUE
38842666,2,Grassland,1.338957908,349.3397614,190.76,105.19,581.31,531.83,1100.9,1.510459524,100,10198.03903,FALSE
50322994,3,Grassland,0.930303648,208.466952,86.59,17.64,168.53,57.17,796.79,1.292289298,80,38209.94635,FALSE
50702998,3,Grassland,1.802150974,373.342803,84.95,27.46,232.62,99.59,776.82,1.716199029,70.27027027,38209.94635,TRUE
27781794,4,Grassland,0,332.7720065,101.39,94.9,650.72,400.89,422.07,1.458854898,58.33333333,214895.3234,FALSE
29461660,4,Grassland,3.644265233,1094.667861,96.99,105.55,773.36,283.93,585.49,1.990370968,88.23529412,214895.3234,TRUE
36462652,5,Grassland,1.045137544,236.6620173,29.32,20.59,197.62,80.91,333.47,1.389941003,77.27272727,112445.5424,TRUE
37582662,5,Grassland,1.316299559,234.7205874,70,57.54,371.84,106.44,525.71,2.167227666,80,112445.5424,FALSE
29302338,6,Grassland,2.503568962,508.3582777,100.93,61.13,536.15,172.25,940.1,1.6177,88.23529412,84876.3807,TRUE
30002386,6,Grassland,4.200891862,1069.851802,85.38,96.2,999.6,416.08,1000.43,1.452863184,76.47058824,84876.3807,FALSE
30562338,7,Grassland,1.04534005,173.9660273,43.44,41.39,380.49,246.16,474.12,1.885845972,80,67675.69726,TRUE
31122376,7,Grassland,6.940141932,749.3304536,702.39,36.81,429.99,303.79,4393.53,1.164309322,65.71428571,67675.69726,FALSE
31122376,8,Grassland,6.940141932,749.3304536,702.39,36.81,429.99,303.79,4393.53,1.164309322,65.71428571,65145.9899,FALSE
31322314,8,Grassland,0.51207474,871.7560374,125.1,104.7,883.07,366.83,1113.87,1.45790625,75,65145.9899,TRUE
41941786,9,Grassland,0.679117752,112.5760702,14.47,13.49,160.81,61.2,144.65,1.025750559,77.77777778,178044.9381,FALSE
42401958,9,Grassland,0.263492063,268.0592593,98.07,62.37,495.43,289.39,674.45,1.513338028,41.66666667,178044.9381,TRUE
33081892,10,Grassland,0.47209385,358.417585,79.78,33.91,393.41,46.42,77.57,1.670655807,31.25,65969.69001,FALSE
33241828,10,Grassland,0.61405672,285.1952322,41.76,34.36,331.52,68.58,150.51,0.903387097,36,65969.69001,TRUE
51443008,11,Grassland,1.189066918,369.0071002,104.32,75.59,470.76,171.14,769.58,2.317621818,97.36842105,80000,TRUE
51922944,11,Grassland,1.180171406,427.16816,42.56,53.5,485.43,106.4,495.57,2.396165094,92.10526316,80000,FALSE
51722996,12,Grassland,2.473971453,954.6742233,89.38,81.1,653.57,147.35,852.97,1.939437743,97.43589744,55713.55311,TRUE
51922944,12,Grassland,1.180171406,427.16816,42.56,53.5,485.43,106.4,495.57,2.396165094,92.10526316,55713.55311,FALSE
46482614,13,Grassland,1.127908952,55.00435989,83.79,44.16,384.92,133.23,714.31,1.810254573,80.64516129,62289.64601,FALSE
46942572,13,Grassland,5.321254355,1456.481301,62.54,74.16,668.73,232.68,1534.81,1.847690476,97.22222222,62289.64601,TRUE
50863206,14,Grassland,0.778903904,295.5888388,64.64,43.28,373.46,104.28,493.7,0.962563202,66.66666667,62513.99843,FALSE
50943268,14,Grassland,0.665648272,248.7305709,73.19,78.5,501.97,115.65,562.9,1.65409126,60.60606061,62513.99843,TRUE
48942888,15,Grassland,1.162376987,424.7911935,103,131.88,723.2,427.2,922.08,2.295690625,97.2972973,122588.7434,TRUE
50022946,15,Grassland,2.497313561,514.0303747,180.62,105.35,601.4,169.23,1450.75,1.720866492,94.87179487,122588.7434,FALSE
40383202,16,Grassland,0.859088433,245.8902004,11.82,5.27,77.43,35.11,142.59,1.390876457,43.24324324,41617.30409,TRUE
40723226,16,Grassland,0.928065598,238.6366008,69.4,61.34,388.71,90.58,704.79,0.647652878,14.28571429,41617.30409,FALSE
42223056,17,Grassland,1.452031603,444.3841234,116.23,117.75,670.54,197.23,765.07,1.341648607,47.05882353,40249.2236,FALSE
42583038,17,Grassland,1.682776981,361.7120623,72.1,94.91,525.43,137.68,633.69,1.616649852,74.35897436,40249.2236,TRUE
42223056,18,Grassland,1.452031603,444.3841234,116.23,117.75,670.54,197.23,765.07,1.341648607,47.05882353,48083.26112,FALSE
42683042,18,Grassland,2.41489118,714.8584956,230.12,122.6,773.11,219.56,1151.42,1.50637,86.48648649,48083.26112,TRUE
42223056,19,Grassland,1.452031603,444.3841234,116.23,117.75,670.54,197.23,765.07,1.341648607,47.05882353,106075.4448,FALSE
43283052,19,Grassland,3.353003384,849.8722504,215.23,179.06,1057.71,294.03,1444.43,1.535666,94.59459459,106075.4448,TRUE
43022764,20,Grassland,1.969776876,583.6712644,86.63,92.85,527.35,140.04,747.47,1.475756757,59.45945946,50990.19514,TRUE
43122714,20,Grassland,3.139006236,692.8521424,103.16,105.3,711.65,171.02,1123.62,1.8606875,84.84848485,50990.19514,FALSE
31721688,21,Grassland,1.392067877,625.8627993,65.38,46.2,556.05,106.73,263.57,1.922668478,42.85714286,76550.63684,TRUE
32361730,21,Grassland,0.8000378,176.6462546,50.99,17.17,270.07,52.68,92.29,1.183764463,37.5,76550.63684,FALSE
43663228,22,Grassland,1.175399555,571.7143435,56.15,83.94,532.67,126.64,401.72,1.977200472,83.78378378,164596.4763,FALSE
45123304,22,Grassland,3.700966635,449.7752832,81.89,98.18,692.33,165.6,967.72,1.257468912,63.88888889,164596.4763,TRUE
47182946,23,Grassland,0.860995851,288.5713693,61.96,65.99,471.25,148.43,545.99,1.469734884,83.33333333,112160.5991,FALSE
47903032,23,Grassland,1.804778973,518.7582636,108.04,23.03,239.93,107.53,1292.63,1.215415301,81.81818182,112160.5991,TRUE
47182946,24,Grassland,0.860995851,288.5713693,61.96,65.99,471.25,148.43,545.99,1.469734884,83.33333333,148606.8639,FALSE
48483018,24,Grassland,2.876416739,761.9187736,135.69,223.25,954.52,401.89,971.38,1.399494444,88.88888889,148606.8639,TRUE
52383540,25,Grassland,1.062950938,128.7617845,41.35,17.65,160.76,55.96,411.3,0.45703125,72.4137931,72111.02551,TRUE
52423612,25,Grassland,0.625740442,359.3140669,40.86,78.23,525.84,189.82,425.06,2.300283105,93.93939394,72111.02551,FALSE
37682420,26,Grassland,1.908263146,487.4951059,269.17,150.52,826.64,251.94,1311.29,1.310320988,74.07407407,36878.17783,TRUE
37922448,26,Grassland,1.558380598,568.5383663,137.86,153.22,1025.96,154.27,924.22,1.599657895,84.21052632,36878.17783,FALSE
37922448,27,Grassland,1.558380598,568.5383663,137.86,153.22,1025.96,154.27,924.22,1.599657895,84.21052632,98081.59868,FALSE
